painting,paintingLabel,artistLabel,locationLabel,locationCoord,year,image
http://www.wikidata.org/entity/Q61964373,Saint Damian,Martín Bernat,National Museum of Ancient Art,Point(-9.16072 38.7053),1477,http://commons.wikimedia.org/wiki/Special:FilePath/Bartolom%C3%A9%20Bermejo%20%281440-1495%29%20-%20De%20heilige%20Damiaan%20%28ca.1490%29%20-%20Lissabon%20Museu%20Nacional%20de%20Arte%20Antiga%2019-10-2010%2016-12-101.jpg
http://www.wikidata.org/entity/Q61905350,Death and Assumption of the Virgin Mary,Bartolomé Bermejo,Gemäldegalerie,Point(13.364722222 52.508611111),1472,http://commons.wikimedia.org/wiki/Special:FilePath/B.Bermejo%20Mort%20Assumpci%C3%B3%20Maria%204105.jpg
http://www.wikidata.org/entity/Q52725477,Die durch Engel bekrönte Muttergottes mit Kind im Kreise der 14 Schutzheiligen des Hauses Zimmern,Master of Messkirch,Meßkirch Castle,Point(9.11008333 47.99295833),1536,http://commons.wikimedia.org/wiki/Special:FilePath/Meister%20von%20Me%C3%9Fkirch-Wildensteiner%20Altar-Mitteltafel-0014.jpg
http://www.wikidata.org/entity/Q61965321,Q61965321,Bartolomé Bermejo,Royal Chapel of Granada,Point(-3.599036111 37.175986111),1477,http://commons.wikimedia.org/wiki/Special:FilePath/B.Bermejo%20Santa%20Fa%C3%A7%204148.jpg
http://www.wikidata.org/entity/Q61965121,Descent from the Cross,Martín Bernat,Saragossa Museum,Point(-0.8786 41.6482),1477,http://commons.wikimedia.org/wiki/Special:FilePath/Descendimiento%2C%20de%20Bartolom%C3%A9%20Bermejo%20y%20Mart%C3%ADn%20Bernat%20%28Museo%20de%20Zaragoza%29.JPG
http://www.wikidata.org/entity/Q52729031,Die kniende Stifterin Gräfin Apollonia von Henneberg – Christus am Ölberg,Master of Messkirch,Fürstenberg Collection,Point(8.503015 47.953035),1536,http://commons.wikimedia.org/wiki/Special:FilePath/Meister%20von%20Me%C3%9Fkirch-Wildensteiner%20Altar-Drehfl%C3%BCgel%20rechts-offen0005.jpg
http://www.wikidata.org/entity/Q61965246,The Adoration of the Magi,http://www.wikidata.org/.well-known/genid/bf97c6640c61cd05fa27ccaddb6e9b69,Royal Chapel of Granada,Point(-3.599036111 37.175986111),1477,http://commons.wikimedia.org/wiki/Special:FilePath/Bermejo-Epifania-Gr.jpg
http://www.wikidata.org/entity/Q52775046,Christi Abschied von seiner Mutter,Master of Messkirch,Meßkirch Castle,Point(9.11008333 47.99295833),1536,http://commons.wikimedia.org/wiki/Special:FilePath/Meister%20von%20Me%C3%9Fkirch-Wildensteiner%20Altar-Standfl%C3%BCgel%20links-rechts-geschlossen-0016-2.jpg
http://www.wikidata.org/entity/Q52727188,Der kniende Stifter Graf Gottfried Werner von Zimmern – Christus am Ölberg,Master of Messkirch,Fürstenberg Collection,Point(8.503015 47.953035),1536,http://commons.wikimedia.org/wiki/Special:FilePath/Meister%20von%20Me%C3%9Fkirch-Wildensteiner%20Altar-Drehfl%C3%BCgel%20links-offen0004.jpg
http://www.wikidata.org/entity/Q61965321,Q61965321,http://www.wikidata.org/.well-known/genid/bf9d56d28c6c0275481f1217b6c19b60,Royal Chapel of Granada,Point(-3.599036111 37.175986111),1477,http://commons.wikimedia.org/wiki/Special:FilePath/B.Bermejo%20Santa%20Fa%C3%A7%204148.jpg
http://www.wikidata.org/entity/Q50752920,Judith,Palma Vecchio,Uffizi Gallery,Point(11.255277777 43.768333333),1525,http://commons.wikimedia.org/wiki/Special:FilePath/Palma%20il%20Vecchio%20-%20Judith%20-%20WGA16936.jpg
http://www.wikidata.org/entity/Q50752920,Judith,Palma Vecchio,Uffizi Gallery,Point(11.255277777 43.768333333),1528,http://commons.wikimedia.org/wiki/Special:FilePath/Palma%20il%20Vecchio%20-%20Judith%20-%20WGA16936.jpg
http://www.wikidata.org/entity/Q62108564,Portrait of Pope Gregory XIII,Lavinia Fontana,London,Point(-0.1275 51.507222222),1585,http://commons.wikimedia.org/wiki/Special:FilePath/Lavinia%20Fontana%20-%20Portrait%20of%20Pope%20Gregory%20XIII.jpg
http://www.wikidata.org/entity/Q61965685,Triptych of the Virgin of Montserrat,Bartolomé Bermejo,cathedral of Our Lady of the Assumption,Point(8.47121111 44.67421389),1483,http://commons.wikimedia.org/wiki/Special:FilePath/B.Bermejo%20ret.Montserrat%20Anunciacio-tancat%204149.jpg
http://www.wikidata.org/entity/Q61965685,Triptych of the Virgin of Montserrat,Bartolomé Bermejo,cathedral of Our Lady of the Assumption,Point(8.47121111 44.67421389),1483,http://commons.wikimedia.org/wiki/Special:FilePath/Bartolom%C3%A9%20Bermejo%20-%20Retablo%20della%20vergine%20di%20Montserrat.jpg
http://www.wikidata.org/entity/Q52776229,The capture of Christ,Master of Messkirch,Fürstenberg Collection,Point(8.503015 47.953035),1536,http://commons.wikimedia.org/wiki/Special:FilePath/Meister%20von%20Me%C3%9Fkirch-Wildensteiner%20Altar-Standfl%C3%BCgel%20links-rechts-geschlossen-0016.jpg
http://www.wikidata.org/entity/Q61904859,Saint John the Baptist,Bartolomé Bermejo,Museo de Bellas Artes de Sevilla,Point(-6.000126118 37.39265415),1470,http://commons.wikimedia.org/wiki/Special:FilePath/B.Bermejo%20st.Joan%20Baptista%20desert%204104.jpg
http://www.wikidata.org/entity/Q61911383,Altarpiece of Santo Domingo de Silos,Bartolomé Bermejo,Museo del Prado,Point(-3.692222222 40.413888888),1476,http://commons.wikimedia.org/wiki/Special:FilePath/B.Bermejo%20ret.St.Domingo%20Silos%20hipotesi%204130.jpg
http://www.wikidata.org/entity/Q66286852,Madonna of the Yarnwinder,http://www.wikidata.org/.well-known/genid/836e1aa3c500268ac8800777cd3981a3,Museum of Fine Arts of Córdoba,Point(-4.774777777 37.88125),1600,http://commons.wikimedia.org/wiki/Special:FilePath/Virgen%20de%20los%20husos%20%28Museo%20de%20Bellas%20Artes%20de%20C%C3%B3rdoba%29.jpg
http://www.wikidata.org/entity/Q52725477,Die durch Engel bekrönte Muttergottes mit Kind im Kreise der 14 Schutzheiligen des Hauses Zimmern,Master of Messkirch,Schloss Donaueschingen,Point(8.503083333 47.952194444),1536,http://commons.wikimedia.org/wiki/Special:FilePath/Meister%20von%20Me%C3%9Fkirch-Wildensteiner%20Altar-Mitteltafel-0014.jpg
http://www.wikidata.org/entity/Q97323065,Q97323065,Pere Fontaines,Girona Museum of Art,Point(2.82605 41.986844),1600,http://commons.wikimedia.org/wiki/Special:FilePath/SantFeliu-JBorgunya-predicaci%C3%B3.jpg
http://www.wikidata.org/entity/Q29538275,Chess player's novella,Liberale da Verona,Metropolitan Museum of Art,Point(-73.963333333 40.779444444),1475,http://commons.wikimedia.org/wiki/Special:FilePath/Liberale%20da%20verona%2C%20scena%20dalla%20novella%20del%20giocatore%20di%20scacchi%2C%201467-1476%2C%2001.JPG
http://www.wikidata.org/entity/Q29538275,Chess player's novella,Liberale da Verona,Metropolitan Museum of Art,Point(-73.963333333 40.779444444),1475,http://commons.wikimedia.org/wiki/Special:FilePath/Liberale%20da%20verona%2C%20scena%20dalla%20novella%20del%20giocatore%20di%20scacchi%2C%201467-1476%2C%2002.JPG
http://www.wikidata.org/entity/Q61965685,Triptych of the Virgin of Montserrat,http://www.wikidata.org/.well-known/genid/ebd31e4380ee6d620ef6fa05228d0587,cathedral of Our Lady of the Assumption,Point(8.47121111 44.67421389),1483,http://commons.wikimedia.org/wiki/Special:FilePath/B.Bermejo%20ret.Montserrat%20Anunciacio-tancat%204149.jpg
http://www.wikidata.org/entity/Q61965685,Triptych of the Virgin of Montserrat,http://www.wikidata.org/.well-known/genid/ebd31e4380ee6d620ef6fa05228d0587,cathedral of Our Lady of the Assumption,Point(8.47121111 44.67421389),1483,http://commons.wikimedia.org/wiki/Special:FilePath/Bartolom%C3%A9%20Bermejo%20-%20Retablo%20della%20vergine%20di%20Montserrat.jpg
http://www.wikidata.org/entity/Q28831393,Venus and Cupid.,http://www.wikidata.org/.well-known/genid/de543f7305134971f8c920a9834197ce,museum storage,,1528,http://commons.wikimedia.org/wiki/Special:FilePath/Leyden%20Venus%20and%20Cupid.jpg
http://www.wikidata.org/entity/Q28831393,Venus and Cupid.,http://www.wikidata.org/.well-known/genid/de543f7305134971f8c920a9834197ce,museum storage,,1528,http://commons.wikimedia.org/wiki/Special:FilePath/Lucas%20van%20Leyden%20-%20Venus%20with%20a%20cupid%20-%20M.Ob.1469%20-%20National%20Museum%20in%20Warsaw.jpg
