paintingLabel,artistLabel,locationLabel,year,image,longitude,latitude
Madonna/Virgin and Child with the Infant St John the Baptist.,Marco Palmezzano,museum storage,1500,http://commons.wikimedia.org/wiki/Special:FilePath/Palmezzano%20Madonna%20and%20Child.jpg,-89.23979340634538,37.70894045
The capture of Christ,Master of Messkirch,Schloss Donaueschingen,1536,http://commons.wikimedia.org/wiki/Special:FilePath/Meister%20von%20Me%C3%9Fkirch-Wildensteiner%20Altar-Standfl%C3%BCgel%20links-rechts-geschlossen-0016.jpg,8.503338440838942,47.95206025
Altarpiece of Santo Domingo de Silos,Martín Bernat,Museo del Prado,1476,http://commons.wikimedia.org/wiki/Special:FilePath/B.Bermejo%20ret.St.Domingo%20Silos%20hipotesi%204130.jpg,-3.69204071450646,40.41379255
Madonna and Child with St. John,Battista Dossi,National Museum in Warsaw,1526,http://commons.wikimedia.org/wiki/Special:FilePath/Dossi%20Madonna%20and%20Child.jpg,21.0247708,52.2316938
Predella of the Barbadori altarpiece,Filippo Lippi,Uffizi Gallery,1438,http://commons.wikimedia.org/wiki/Special:FilePath/Predella%20Pala%20Barbadori-%20Uffizi.JPG,11.25649,43.76773
Our Lady of Piasek,http://www.wikidata.org/.well-known/genid/5afa1e7228eece797aeb1abd64d9e351,Church of the Visitation of the Blessed Virgin Mary,1500,http://commons.wikimedia.org/wiki/Special:FilePath/Krakow-kosciol%20Nawiedzenia%20NMP%20MB%20Piaskowa.jpg,27.428937123104287,54.4919491
The Adoration of the Magi,Bartolomé Bermejo,Royal Chapel of Granada,1477,http://commons.wikimedia.org/wiki/Special:FilePath/Bermejo-Epifania-Gr.jpg,-3.59895,37.17594
Saint Damian,Martín Bernat,National Museum of Ancient Art,1477,http://commons.wikimedia.org/wiki/Special:FilePath/Bartolom%C3%A9%20Bermejo%20%281440-1495%29%20-%20De%20heilige%20Damiaan%20%28ca.1490%29%20-%20Lissabon%20Museu%20Nacional%20de%20Arte%20Antiga%2019-10-2010%2016-12-101.jpg,-9.161465665614319,38.70478525
Death and Assumption of the Virgin Mary,Bartolomé Bermejo,Gemäldegalerie,1472,http://commons.wikimedia.org/wiki/Special:FilePath/B.Bermejo%20Mort%20Assumpci%C3%B3%20Maria%204105.jpg,13.36474921508226,52.50851325
Die durch Engel bekrönte Muttergottes mit Kind im Kreise der 14 Schutzheiligen des Hauses Zimmern,Master of Messkirch,Meßkirch Castle,1536,http://commons.wikimedia.org/wiki/Special:FilePath/Meister%20von%20Me%C3%9Fkirch-Wildensteiner%20Altar-Mitteltafel-0014.jpg,9.107787,48.004088
Q61965321,Bartolomé Bermejo,Royal Chapel of Granada,1477,http://commons.wikimedia.org/wiki/Special:FilePath/B.Bermejo%20Santa%20Fa%C3%A7%204148.jpg,-3.59895,37.17594
Descent from the Cross,Martín Bernat,Saragossa Museum,1477,http://commons.wikimedia.org/wiki/Special:FilePath/Descendimiento%2C%20de%20Bartolom%C3%A9%20Bermejo%20y%20Mart%C3%ADn%20Bernat%20%28Museo%20de%20Zaragoza%29.JPG,83.439773,26.586827
Die kniende Stifterin Gräfin Apollonia von Henneberg – Christus am Ölberg,Master of Messkirch,Fürstenberg Collection,1536,http://commons.wikimedia.org/wiki/Special:FilePath/Meister%20von%20Me%C3%9Fkirch-Wildensteiner%20Altar-Drehfl%C3%BCgel%20rechts-offen0005.jpg,13.14442,53.18427
Christi Abschied von seiner Mutter,Master of Messkirch,Meßkirch Castle,1536,http://commons.wikimedia.org/wiki/Special:FilePath/Meister%20von%20Me%C3%9Fkirch-Wildensteiner%20Altar-Standfl%C3%BCgel%20links-rechts-geschlossen-0016-2.jpg,9.107787,48.004088
Der kniende Stifter Graf Gottfried Werner von Zimmern – Christus am Ölberg,Master of Messkirch,Fürstenberg Collection,1536,http://commons.wikimedia.org/wiki/Special:FilePath/Meister%20von%20Me%C3%9Fkirch-Wildensteiner%20Altar-Drehfl%C3%BCgel%20links-offen0004.jpg,13.14442,53.18427
Judith,Palma Vecchio,Uffizi Gallery,1525,http://commons.wikimedia.org/wiki/Special:FilePath/Palma%20il%20Vecchio%20-%20Judith%20-%20WGA16936.jpg,11.25649,43.76773
Portrait of Pope Gregory XIII,Lavinia Fontana,London,1585,http://commons.wikimedia.org/wiki/Special:FilePath/Lavinia%20Fontana%20-%20Portrait%20of%20Pope%20Gregory%20XIII.jpg,-0.1277653,51.5074456
Triptych of the Virgin of Montserrat,Bartolomé Bermejo,cathedral of Our Lady of the Assumption,1483,http://commons.wikimedia.org/wiki/Special:FilePath/B.Bermejo%20ret.Montserrat%20Anunciacio-tancat%204149.jpg,-7.906718701136975,38.571746950000005
The capture of Christ,Master of Messkirch,Fürstenberg Collection,1536,http://commons.wikimedia.org/wiki/Special:FilePath/Meister%20von%20Me%C3%9Fkirch-Wildensteiner%20Altar-Standfl%C3%BCgel%20links-rechts-geschlossen-0016.jpg,13.14442,53.18427
Saint John the Baptist,Bartolomé Bermejo,Museo de Bellas Artes de Sevilla,1470,http://commons.wikimedia.org/wiki/Special:FilePath/B.Bermejo%20st.Joan%20Baptista%20desert%204104.jpg,-6.000013512276475,37.39241595
